Parcel_index,Nieuwenhuys_parcel,Lobe,GLI_exist,GLI_lateral,GLI_superior,GLI_median,GLI_inferior,GLI_Mean,Depth_exist,Baillarger_type,Baillarger_type_detail,Intrusion_type,Density_type,Reference,Original_information_source,Depth_profle
56,58,Frontal,1,118,,,,118,0,,,,,,,
57,59,Frontal,1,124,,,151,138,1,Unitostriate,Propeunitostriate,Euradiate,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 4p (Fig 9)","[244.175      245.935      244.96666667 245.08333333 243.69666667  243.56166667 242.19       242.91666667 243.05       233.44  215.34833333 216.87333333 227.11833333 240.515      242.22833333  238.86333333 237.28       238.97       235.57666667 234.99666667  235.395      232.90666667 233.79       232.47333333 230.49  232.21166667 225.55833333 227.05333333 225.51833333 218.95833333  218.255      211.79166667 211.6        208.06333333 197.19833333  190.41333333 183.80666667 174.95333333 153.995      138.26  141.15833333 136.63833333 153.95166667 161.22833333 161.36666667  158.17333333 149.07833333 134.30666667 144.86       146.21  142.555      138.12       140.14666667 149.92       155.56333333  158.13333333 166.48166667 175.685      170.87833333 168.805  174.74833333 184.94666667 188.905      186.35666667 178.56166667  177.41       168.015      161.08166667 147.65833333 138.865  123.23166667 119.21333333 104.975       83.69666667  69.63333333   53.36666667  44.57666667  36.86833333  12.8         11.925    6.46166667   5.60833333   3.30833333   6.92666667  12.045    3.42833333   3.44666667   3.39333333   3.095        3.39333333    3.15666667   9.52333333  11.805        6.09333333   6.30666667    3.75666667   3.52833333   3.92         4.38         6.87333333]"
58,60,Frontal,1,,,,87,87,0,,,,,,,
59,61,Frontal,1,,,,94,94,1,Bistriate,,Infraradiate,,Strasburger1937a,"Stefan Geyer, Robert Turner - [Microstructural Parcellation of the Human Cerebral Cortex] - 76p (Fig 3.15)","[236.635 224.555 225.51  188.53  196.16  184.04  213.295 218.145 229.625 237.225 235.91  233.81  237.635 223.115 216.8   213.345 215.12  220.785 211.355 227.065 206.895 203.385 215.175 197.815 190.805 184.64  177.825 171.82  159.54  176.88  153.27  141.435 150.735 138.445 124.86  113.66 116.04  107.8   101.92   97.04   90.995  85.945  92.92   75.74   80.33  73.04   55.95   69.785  64.53   67.195  62.585  57.17   67.715  71.66  85.89   66.75   85.495  70.02   65.315  80.805  95.495  71.075  58.9  51.41   52.395  55.33   45.92   51.315  56.77   56.6    57.755  49.975  54.355  48.525  47.755  52.42   53.49   44.135  42.53   42.08   45.225  31.075  41.38   37.19   35.9    30.545  20.53   28.005  25.055  24.38  17.345  16.315   8.98    9.165  11.395  10.63   14.26   14.885  12.975  13.09 ]"
60,62,Frontal,1,,,,136,136,0,,,,,,,
61,63,Frontal,1,,,,141,141,1,Unitostriate,,Euradiate,,Vogt1919,"Nieuwenhuys R - [ The myeloarchitectonic studies on the human cerebral cortex of the Vogt�Vogt school] - 315p (Fig 11)","[253.16  250.11  220.79  144.305 137.295 195.455 160.53  253.7   235.175 254.825 254.775 250.635 229.195 254.3   238.515 205.33  202.755 177.27 210.105 244.96  243.16  253.96  238.795 251.265 233.7   248.96  250.545 218.005 191.905 221.37  200.995 240.51  165.775 213.485 206.39  162.065 178.95  193.405 207.025 168.365 165.45  184.415 143.25  168.75  176.89 162.32  155.175 151.415 161.02  151.29  157.85  162.61  144.815 169.595 186.09  189.16  172.035 171.855 123.965 125.165 129.065 156.58  149.19 135.91  166.005 146.735 161.71  158.37  174.21  146.41  161.395 151.015 150.385 155.52  159.16  151.25  160.015 142.535 154.905 161.92  157.535 151.84  146.81  145.67  144.93  149.2   152.25  144.645 148.525 121.22 115.79  123.8   114.435 121.815 113.895 120.825 109.555 108.44  108.365 112.865]"
62,64,Frontal,1,,,,152,152,1,Unitostriate,,Infraradiate,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 4p (Fig 10)","[229.90333333 233.375      236.27166667 231.88       233.04666667  228.21333333 226.12833333 220.50166667 217.31333333 217.525  218.88333333 213.48666667 213.29666667 209.29       205.61666667  205.21666667 206.77333333 196.66333333 188.95833333 188.65666667  183.75       185.58333333 184.08666667 174.345      166.72666667  149.93666667 149.42       145.13333333 128.96333333 127.3  125.43166667 112.75833333 105.96833333 109.075       98.55   94.33333333  95.88833333 102.64333333  85.26833333  95.52333333   86.10333333  71.865       74.125       68.695       57.00166667   73.09        49.30666667  62.605       60.64666667  61.35333333   67.53        78.99333333  76.42166667  76.92666667  91.02166667   97.01        94.895       85.51       100.63        91.88666667   73.81        64.70333333  79.39833333  72.42166667  66.45   48.98166667  46.015       40.99333333  42.47833333  23.15166667   19.29666667  18.95666667  17.40666667  18.04166667  10.52    9.86833333   9.93166667   8.71         8.09833333   8.205    8.365        6.74166667   7.015        7.14166667   8.13833333    8.08833333   7.75666667   9.27833333   7.78166667   8.93333333    9.14666667  10.13166667   9.31        10.43833333  14.25833333   12.54666667  11.81        14.66        13.75        18.14      ]"
63,65,Frontal,1,,,,117,117,1,Unitostriate,,Infraradiate,,Strasburger1937a,"Stefan Geyer, Robert Turner - [Microstructural Parcellation of the Human Cerebral Cortex] - 76p (Fig 3.15)","[217.555 195.975 126.435 110.415 101.645 107.425 103.515 147.735 159.065 177.71  187.935 173.01  157.135 166.29  140.395 143.135 131.93  132.325 143.095 132.705 145.81  127.115 131.705 135.195 116.265 121.275 112.68 121.505 128.    102.5   104.055 105.335 110.435 109.315 109.9    98.58  93.775  96.425  84.96   78.8    67.255  68.83   47.935  51.765  51.81  52.965  51.72   45.75   49.74   50.805  48.13   52.955  49.8    61.75  58.195  56.955  52.34   60.845  56.255  57.56   46.055  42.785  49.845  44.3    43.73   39.72   48.3    44.29   34.53   45.89   36.135  42.305  45.4    51.505  53.945  62.33   57.3    55.355  59.53   54.48   47.145  42.32   39.61   34.2    31.08   28.315  25.07   26.4    23.73   19.355  22.635  23.895  24.995  17.655  13.955  17.86   12.86    9.765  11.91   8.61 ]"
64,66,Frontal,1,,,,123,123,0,,,,,,,
65,67,Parietal,1,79,,88,,84,1,Bistriate,,Euradiate,Dives,Vogt1911,"Vogt O - [Die Myeloarchitektonik des Isocortex parietalis] - 13p (Fig 1)","[252.725 208.405 145.72  177.355 187.035 195.88  197.235 198.07  209.685 220.17  200.435 193.87  203.085 190.66  180.9   182.91  191.52  173.255 152.445 147.78  128.27  137.115 133.24  118.475 114.855 116.17  102.51 103.69   98.82  107.975  91.88   70.315  80.315  69.67   65.125  81.365  70.4    63.67   81.64   69.08   78.19   80.59  105.03  107.635  94.49 107.325 103.23  101.255 113.97  105.4    95.81   86.5    90.83   84.625  77.04   81.825  78.32   76.655  74.06   71.305  77.87   80.415  73.295  97.67   91.46   80.52   75.19   68.475  54.575  55.37   56.15   50.625  54.02   49.6    49.01   54.48   51.21   46.485  47.46   53.89   45.88  47.615  52.65   47.42   42.705  36.905  40.235  37.13   39.96   38.05  33.115  31.495  32.63   33.935  31.565  31.735  32.59   32.545  28.855  31.425]"
66,67III,Parietal,1,,62,,,62,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 261p (Tafel I)","[232.615 221.005 208.785 214.955 214.055 214.955 219.77  217.11  215.135 219.42  216.37  213.77  205.515 201.58  200.485 194.65  187.85  186.965 174.215 167.06  162.1   147.325 125.3   112.97  108.235  94.17   78.85  71.815  58.505  45.48   46.355  46.515  39.075  37.74   37.945  30.155  36.685  35.275  39.3    36.51   40.925  37.895  39.535  41.435  39.015  39.905  44.39   51.82   47.6    41.83   44.28   41.075  45.32   35.825  36.96   36.82   34.965  39.7    43.435  45.72   41.335  40.43   44.1  44.745  46.765  48.73   53.705  52.44   42.58   40.415  36.505  32.675  32.7    31.01   25.26   25.325  23.855  20.845  20.875  21.21   20.01  18.295  21.845  19.68   19.775  18.755  18.86   18.715  15.935  14.22  13.09   11.57   11.005  11.015  10.415   7.47    6.455   5.3     5.53   6.975]"
67,67IV,Parietal,1,,,105,,105,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 261p (Tafel I)","[215.145 183.77  180.085 184.57  197.805 190.075 201.36  199.56  199.055 196.02  191.455 185.45  177.33  175.935 176.205 175.66  168.865 169.07 159.045 154.435 148.89  141.9   138.58  126.8   120.495 116.27  103.605  93.885  85.375  79.135  62.915  64.135  59.34   58.975  59.18   60.7  54.005  61.135  53.74   56.75   58.7    64.085  69.195  63.65   74.67  65.52   65.69   58.605  63.15   58.485  50.82   51.94   58.725  46.61  43.905  42.525  44.235  50.15   52.125  47.67   45.195  55.81   58.02  54.685  51.835  54.085  55.38   44.375  45.505  42.495  39.5    33.335  32.725  31.895  23.57   29.32   17.785  18.485  15.775  13.285  15.305  10.945  11.49    9.085   9.26    8.805   9.91   10.635   9.565  10.035   9.895   8.845   7.555   8.025   7.55    4.505   4.165   4.      4.855   7.57 ]"
68,68I,Parietal,1,,,,196,196,1,Unistriate,Propeunistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 263p (Tafel III)","[155.94  166.21  176.09  159.51  160.22  168.675 170.835 168.84  169.215 171.505 172.89  166.13  170.025 165.52  166.625 171.05  169.05  170.13 168.225 167.85  167.865 164.545 166.295 167.765 168.495 166.2   166.02 166.68  165.7   166.895 167.805 164.785 164.4   163.53  163.415 162.505 161.245 156.835 157.565 159.07  159.09  156.    158.485 154.945 153.535 157.81  153.365 151.41  144.35  145.33  143.965 139.155 143.39  143.3 148.69  147.035 143.79  140.19  139.565 137.75  138.35  138.81  138.325 145.885 150.08  143.915 140.565 133.61  136.985 124.94  120.525 107.89  97.335  68.82   43.69   38.345  27.195  25.98   20.425  30.44   20.72  19.575  19.56   29.08   18.915  18.29   18.665  18.195  19.52   19.315  19.585  20.82   20.76   21.315  20.6    20.715  20.53   21.76   20.3  22.535]"
69,68II,Parietal,1,,,,189,189,1,Unistriate,Propeunistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 263p (Tafel III)","[205.085 195.29  190.67  185.565 178.445 171.795 170.65  168.835 172.545 172.125 177.015 177.98  178.05  170.72  173.24  164.78  171.72  170.345 166.9   160.01  164.53  160.67  162.505 158.945 158.785 153.525 150.515 152.52  148.075 151.075 147.75  146.38  148.785 154.735 149.535 148.025 147.21  146.075 144.37  141.13  142.655 131.37  127.665 125.775 125.215 120.405 124.95  116.435 116.7   120.26  118.655 117.06  117.93  115.265 114.37  119.835 119.78  115.435 110.31  105.265 100.955 104.88  101.58  99.66  100.825  99.43  103.045 102.22  106.815 100.18  104.23   99.24 105.75  105.885 110.1   102.33  102.585 103.39  106.525 106.52   99.805  99.225  95.795  86.375  83.015  78.98   67.975  65.875  61.155  54.365  47.58   44.695  36.895  31.36   36.29   32.745  26.24   25.255  23.37  25.195]"
70,68III,Parietal,1,,,187,189,188,1,Unistriate,Propeunistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 263p (Tafel III)","[206.9   214.255 207.985 210.455 207.82  209.51  207.505 200.905 198.25 203.92  202.97  204.65  196.18  203.97  201.69  206.6   200.855 207.825 206.195 201.315 202.64  207.225 203.175 198.2   201.875 184.605 186.985 170.575 171.08  161.57  155.72  150.275 144.02  138.895 143.67  142.71 139.76  133.98  138.07  135.325 151.13  149.825 145.435 145.065 140.48 141.3   143.91  141.14  140.145 135.65  132.06  117.415 126.9   125.04 119.915 121.435 113.47  111.225 111.455 104.49  109.46  124.005 117.63 115.115 108.81  108.56  107.32   99.42   99.495  95.52  103.075  94.64  95.14   92.38   95.235  87.76   86.51   84.685  79.685  76.165  77.69  67.935  66.79   65.415  62.175  53.585  45.16   36.475  32.4    28.72  25.97   23.09   20.18   18.28   17.68   14.015  13.32   11.475  11.705  11.22 ]"
71,69,Parietal,1,98,58,85,,88,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 263p (Tafel III)","[174.095 121.435 167.23  177.755 192.95  191.985 193.65  200.21  203.155 201.69  198.16  196.51  186.995 191.745 191.755 187.87  183.595 181.5 172.34  164.845 159.455 151.37  140.69  141.72  124.455 121.04  100.455  86.915  79.725  78.195  60.83   50.5    45.45   34.595  44.975  43.305  45.1    33.125  49.285  43.485  49.98   82.16   70.625  60.3    51.635  46.615  46.33   25.57   28.84   31.855  20.72   36.62   37.925  39.605  41.89   39.55   26.435  17.155  12.415  13.095   8.73    7.785   7.485   5.765   6.06    5.66    5.71    5.52    6.11    8.385   6.255   6.56   6.915   6.88    6.815   7.81    6.42    6.175   6.67   15.47   55.065   6.86    5.865   6.39    4.68    4.765   5.29    5.415   5.15    5.945  10.6     7.005   5.565   5.565   4.985   6.295  41.13   51.655  71.49  71.005]"
72,70med,Parietal,1,136,134,,,135,1,Bistriate,,Euradiate,Grossofibrosa,Vogt1911,"Vogt O - [Die Myeloarchitektonik des Isocortex parietalis] - 13p (Fig 3)","[250.275 231.37  141.835 157.92  185.19  198.18  187.48  188.085 172.095 188.24  209.53  201.705 178.36  149.815 160.5   149.34  152.33  153.995 167.63  143.42  142.135 152.64  154.09  163.715 160.585 160.33  162.325 162.96  153.205 149.94  147.47  147.5   154.33  130.66  122.08  131.345 129.34  115.44  113.29  113.2   107.88  118.17  101.71  101.01  100.275  98.565  90.53   78.705  76.66   66.935  73.2    63.185  61.185  59.6  63.605  71.88   72.94   69.725  71.695  67.14   89.04   81.47   84.515  83.295  90.735  75.175  63.38   58.095  56.67   61.58   48.29   64.25  51.365  56.125  64.095  76.375  73.59   71.24   68.67   74.4    75.1  69.72   71.745  65.45   77.28   51.56   50.7    47.31   47.54   66.285  48.99   49.72   48.38   37.005  33.535  33.2    29.285  29.85   32.76  28.985]"
73,70I,Parietal,1,146,,122,,138,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 261p (Tafel I)","[208.88  173.235 194.185 204.85  206.49  209.84  210.67  219.435 216.555 208.305 209.545 202.85  203.995 209.89  205.42  197.995 189.15  184.17 174.53  169.7   160.57  152.735 125.8   111.655 116.43   94.775  83.02  72.05   71.8    54.11   55.495  49.025  51.49   56.765  48.455  66.725  77.675  69.49   64.225  55.745  61.385  54.785  49.265  41.38   43.9  41.835  45.72   44.19   57.515  59.17   55.62   48.175  55.205  53.845  52.045  54.29   49.92   47.075  34.995  35.25   35.865  29.17   22.03  26.365  15.48   12.185  13.235  19.605  11.82    8.83    5.855   4.345   3.16    4.37    3.51    3.935   3.965   4.005   3.56    4.355   2.49   2.75    2.915   2.725   3.205   3.215   3.025   3.11    4.89    4.3   4.7     4.735   5.985   6.065   5.9     6.24    5.935   5.36    6.91   6.68 ]"
74,70II,Parietal,1,76,,68,,72,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 261p (Tafel I)","[218.305 154.725 179.31  180.75  191.815 188.305 195.605 201.3   210.63 208.175 205.755 207.385 196.875 195.575 189.79  188.115 187.23  179.725 177.52  173.07  156.005 155.24  146.935 140.215 130.46  125.615 102.695  95.845  84.01   78.59   53.165  42.44   50.85   46.565  40.815  37.985  38.84   40.375  35.13   35.61   42.19   38.84   36.32   42.3    39.49  46.55   39.465  38.505  37.43   42.885  35.81   34.07   32.735  33.55  37.235  48.48   40.475  42.52   44.15   46.25   50.065  43.91   43.035  39.12   42.9    39.215  38.29   34.975  36.34   31.695  30.775  30.685  28.175  31.3    29.26   26.45   26.2    27.305  26.325  24.98   25.4  24.945  25.665  28.555  26.005  26.465  24.19   24.41   25.925  26.335  35.085  40.695  31.56   27.255  26.575  27.785  25.765  26.54   25.83  28.775]"
75,71m,Parietal,1,,159,,,159,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 262p (Tafel II)","[244.245 227.79  216.43  205.865 203.13  207.665 203.08  211.415 212.355 211.79  204.695 207.885 205.59  205.775 206.37  202.225 201.455 191.18 192.455 198.01  196.605 195.12  197.625 193.525 182.285 191.32  176.75 164.215 149.325 142.525 127.39  116.395 104.225  89.3    72.45   56.975  56.63   56.885  55.07   42.55   36.07   35.155  41.39   51.     59.125  57.88   50.22   60.655  73.945  69.625  66.6    79.395  73.645  91.015  89.775  79.54   76.435  82.51   82.14   73.505  85.61  100.775 103.18  90.505  85.385  97.92  107.97  120.615 104.845 101.18   86.235  86.405  70.765  56.565  38.165  32.08   19.685  25.39   17.835  18.56   17.095  17.615  16.23   16.95   15.865  16.315  15.75   16.32   21.15   33.61  42.53   42.595  24.26   17.46   16.98   16.785  16.68   16.06   15.49  16.025]"
76,71I,Parietal,1,159,,157,,158,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 262p (Tafel II)","[190.805 172.46  167.975 178.59  178.94  180.505 179.43  180.715 182.23 184.12  181.5   179.365 180.585 177.435 177.81  175.38  177.44  174.925 176.33  173.45  170.755 169.975 169.135 162.46  161.45  157.41  162.375 156.585 153.005 148.205 141.75  131.325 130.2   131.24  117.905 107.84 105.78   98.845  95.365  87.94   84.31   79.7    73.225  76.94   68.84  73.615  70.14   71.27   74.41   74.455  73.585  79.88   87.58   85.26  83.09   84.75   76.96   85.12   79.5    79.635  75.76   86.865  85.9  78.995  79.17   83.065  77.87   86.53   86.595  87.86   87.43   94.39  86.025  75.5    74.42   66.915  68.145  63.355  63.04   59.245  49.175  43.185  47.14   31.025  28.785  28.84   21.145  20.01   27.     28.945  37.77   23.255  17.335  17.715  17.57   18.025  17.965  18.625  19.16  21.68 ]"
77,71II,Parietal,1,103,109,126,,116,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 262p (Tafel II)","[223.62  214.545 220.355 222.755 222.72  224.465 219.19  221.    222.275 220.68  214.285 216.49  215.865 216.105 213.155 216.075 213.755 213.855 212.09  209.895 206.26  206.795 201.845 198.93  193.31  186.6   165.785 160.075 152.065 145.575 128.68  111.535  91.445  95.085  79.41   71.27  71.045  70.725  73.86   63.04   57.835  65.765  62.875  59.285  64.16  75.05   66.235  77.135  78.88   78.68   72.6    76.835  76.47   76.605  73.825  68.335  65.415  61.475  71.73   72.105  71.635  72.395  71.35  77.78   68.625  70.735  70.135  75.3    78.63   75.55   78.6    70.665  68.135  66.05   67.335  66.7    65.715  58.2    56.185  57.195  55.95  55.585  48.83   49.5    43.085  36.11   37.09   39.475  37.89   35.07  30.255  31.03   32.245  31.375  30.375  25.95   28.82   23.85   22.645  23.245]"
78,72,Parietal,1,192,,186,177,184,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 262p (Tafel II)","[164.92  172.42  168.615 160.69  171.71  178.735 168.605 174.1   176.9 172.61  172.52  174.24  170.165 174.61  172.09  171.39  173.175 170.08 168.715 166.24  166.245 166.935 165.15  159.995 155.61  153.16  143.625 146.135 142.595 141.865 134.965 124.21  117.09  111.45  104.92   98.34  95.81   89.895  74.655  72.765  72.25   69.32   65.66   59.935  56.285  51.76   56.725  50.4    59.345  64.3    62.     59.925  62.525  69.03  69.795  71.195  70.375  69.59   63.21   62.51   67.915  67.97   61.04  63.425  58.655  57.385  59.165  59.87   68.43   56.945  57.895  58.975  55.1    56.275  49.84   45.36   43.73   40.45   35.62   33.09   34.83  32.78   28.65   22.59   22.14   19.515  19.475  16.7    21.22   20.87  16.755  15.975  16.61   16.35   16.375  15.555  15.68   16.07   25.265  24.145]"
79,73I,Parietal,1,,,,176,176,1,Unistriate,Propeunistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 263p (Tafel III)","[192.24  181.365 166.635 165.035 175.12  179.875 182.31  182.675 189.115 185.985 184.895 188.105 184.59  189.6   188.3   178.82  180.34  179.63 175.425 167.715 176.585 171.485 169.385 168.675 166.565 168.47  165.825 169.91  162.36  155.55  147.215 148.91  145.075 139.135 126.18  121.98 114.78  105.06  104.695  96.01  105.005  98.8   107.285 112.355 114.895 107.09  112.115 105.705  98.015  98.255  88.88   88.985  76.835  87.455  85.875  88.42   92.83   75.8    62.885  48.385  38.79   21.155  17.865  16.755  14.85   14.16   13.525  13.96   13.46   13.51   15.775  44.255 184.855 154.77  220.345 191.505 157.465  60.175  17.35   15.435  15.78  16.065  21.43   14.43   14.655  14.495  14.78   15.415  15.15   14.35  17.5    14.695  13.81   14.595  14.58   14.51   13.67   13.575  14.015  15.53 ]"
80,73II,Parietal,1,,,,164,164,1,Unistriate,Propeunistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 264p (Tafel IV)","[224.66  209.095 200.695 211.115 211.52  217.885 219.255 220.625 220.44 218.525 219.42  218.625 213.085 209.435 211.765 207.31  207.49  205.45 201.955 200.85  200.235 201.345 199.75  203.74  195.835 197.39  194.715 188.79  183.425 171.76  160.025 150.28  145.355 137.265 130.005 121.225 113.715 111.99   99.195  94.36   86.34   94.6    84.845  91.78   93.975 103.87  105.13   96.755  98.645  95.9   100.57  102.71  110.33  109.25 106.46  110.81  107.545 105.605 110.285 108.02  110.985 109.915 109.39 113.93  110.605 107.17  104.06  104.935 106.185 107.77   98.22   94.17  91.37   91.465  80.545  85.115  83.85   79.19   70.3    59.765  51.35  46.08   49.985  39.125  33.29   29.41   26.765  25.45   25.095  25.775  24.485  21.89   19.705  18.765  17.735  15.34   14.05   13.825  13.655  15.93 ]"
81,73III,Parietal,1,,,,191,191,1,Unistriate,Propeunistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 264p (Tafel IV)","[181.855 166.615 143.87  150.515 146.045 149.35  149.705 149.355 145.02 152.785 152.73  149.315 153.095 151.915 152.06  152.27  149.23  146.245 145.57  140.725 147.17  142.975 146.05  147.01  150.11  148.305 148.6 151.36  149.47  149.6   150.425 151.415 152.89  153.165 149.265 146.78 153.065 148.17  147.73  146.66  143.555 140.865 144.735 149.06  141.21 139.11  135.52  134.125 136.39  129.505 127.755 127.275 125.225 126.195 120.26  120.9   116.86  114.765 122.5   117.275 115.325 121.52  122.495 138.04  122.57  121.295 120.52  118.49  110.295 116.07  120.645 121.8 123.095 115.57  116.545 113.12  113.245 107.715 109.47  105.35  100.85  98.745  91.055  87.91   76.615  68.465  63.9    53.365  33.525  33.105  23.94   22.985  20.2    19.66   20.1    18.26   17.68   17.68   16.6  19.52 ]"
82,74I,Parietal,1,,,,190,190,1,Bistriate,Propebistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 264p (Tafel IV)","[201.015 168.05  158.35  167.26  168.095 172.81  169.605 164.865 160.305 160.54  163.855 168.755 165.255 161.25  163.07  155.49  152.8   148.14 148.705 142.525 135.445 126.235 134.225 123.195 120.36  110.365 104.52  94.655  91.52   77.73   79.485  71.51   69.68   65.255  54.135  61.96  59.07   62.28   65.51   61.54   60.43   57.76   61.56   65.005  72.025  73.025  73.07   66.655  63.61   68.985  73.     74.81   78.89   79.45  86.7    87.34   80.96   79.395  80.485  82.14   77.875  71.52   76.2  75.475  77.97   86.415  85.645  87.405  89.665  89.79   97.89   86.91  82.195  76.625  88.345  75.8    75.75   74.435  73.7    75.63   71.14  68.295  68.23   65.17   68.555  57.265  50.17   45.84   44.025  33.24  30.29   29.735  24.685  22.99   22.815  19.66   23.445  18.74   20.78  22.045]"
83,74II,Parietal,1,,,,198,198,1,Bistriate,Propebistriate,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 264p (Tafel IV)","[187.38  180.545 193.18  194.37  197.2   191.965 197.64  199.12  194.7 193.31  180.175 191.175 189.73  192.735 190.83  189.86  191.965 194.41 189.87  193.74  193.695 188.87  190.655 188.65  185.47  179.67  178.395 174.05  170.235 163.465 155.74  152.33  144.865 133.59  128.005 110.815 112.52  109.84   99.24   93.255  93.725  81.36   89.495  96.88   95.315  98.57  117.895 107.76   95.93   99.505  98.755  91.785  87.97   95.7  84.835  85.28   84.625  87.375  88.665  84.015  84.42   80.93   85.745  82.355  76.915  71.925  71.81   74.1    72.31   73.35   71.145  64.83  67.4    68.89   64.055  59.27   66.47   54.47   53.875  51.995  57.345  42.525  40.455  37.265  32.37   29.85   26.475  29.34   25.135  25.6  24.185  23.67   23.995  23.945  22.755  22.47   21.07   21.27   21.97  22.68 ]"
84,75med,Parietal,1,,165,,,165,1,Bistriate,,Euradiate,Tenuifibrosa,Vogt1911,"Vogt O - [Die Myeloarchitektonik des Isocortex parietalis] - 15p (Fig 1)","[241.085 235.405 138.795 132.985 176.22  200.08  186.59  197.125 190.965 182.93  182.725 214.335 206.32  214.435 187.935 190.07  201.455 177.755 171.18  178.295 189.795 193.84  173.075 183.415 159.805 163.99  165.09 159.595 146.855 159.86  148.065 128.075 131.06  117.285 118.17  102.665  97.62  100.375 102.765  98.53   85.41   79.095  81.16   78.86   91.76 109.65  105.73  109.865 119.63  120.42  113.105  86.25   81.195  85.435  84.98   86.02   87.45   78.9    76.505 104.24   78.91   88.55  103.545 102.475 102.345 109.68  112.13  101.275  94.58   87.82   89.765  83.015  76.795  90.475  92.84   81.99   80.355  73.82   79.26   67.9    60.14  69.525  67.155  58.215  54.605  56.565  56.84   50.135  53.645  52.065  51.035  47.155  47.43   50.385  41.16   39.845  38.35   42.965  38.69  33.81 ]"
85,75sup,Parietal,1,168,,,,168,1,Bistriate,,Euradiate,,Batsch1955,"Batsch EG - [Die myeloarchitektonische Untergliederung des Isocortex parietalis beim Menschen ] - 262p (Tafel II)","[233.405 225.1   236.365 238.855 237.645 228.985 235.535 236.365 231.88 229.955 223.4   230.92  227.85  229.13  228.065 227.06  226.91  226.085 221.85  221.22  219.03  222.07  219.215 214.885 215.7   209.66  205.45 203.995 196.04  196.24  187.875 185.585 174.48  162.39  156.96  150.165 144.195 127.51  127.82  126.005 128.125 123.245 116.63  118.47  131.85 125.64  133.78  142.36  127.895 141.855 126.165 130.34  114.68  121.87 114.895 104.81  116.49  118.99  109.545 108.155  96.605 102.02  102.785  87.855 119.335 106.43  107.74  119.91  105.59  111.66  107.085 100.57 106.615  99.175  95.29   94.28   82.525  82.02   70.045  61.13   43.175  43.275  29.095  27.225  24.975  28.98   18.07   16.045  17.04   16.595  16.045  16.155  16.01   15.965  15.985  15.66   15.685  16.065  15.78  17.47 ]"
