Parcel_index,Nieuwenhuys_parcel,Lobe,GLI_exist,GLI_lateral,GLI_superior,GLI_median,GLI_inferior,GLI_Mean,Depth_exist,Baillarger_type,Baillarger_type_detail,Intrusion_type,Density_type,Reference,Original_information_source,Depth_profle
16,17,Frontal,1,,,190,,190,1,Unistriate,,Infraradiate,Tenuifibrosa,Vogt1919,"Nieuwenhuys R - [ The myeloarchitectonic studies on the human cerebral cortex of the Vogt�Vogt school] - 315p (Fig 11)","[140.365 254.15  215.24  237.12  234.55  229.6   214.2   203.5   217.16 189.435 225.7   184.065 222.4   196.925 238.44  220.4   251.925 230.61 221.525 229.215 228.795 246.755 234.05  246.55  242.735 236.36  248.75 229.26  241.29  239.475 218.9   254.13  236.055 228.99  230.395 227.83 240.82  238.805 235.22  247.49  232.56  240.135 210.945 217.415 222.05 226.885 227.86  182.385 219.185 219.525 192.885 226.385 212.34  207.63 198.555 184.845 171.47  157.18  167.335 158.745 166.68  167.815 157.385 156.705 155.77  148.755 156.38  156.58  148.375 152.75  151.25  162.675 152.685 155.025 151.72  159.67  159.7   160.43  149.405 162.495 156.48 158.71  139.525 153.2   145.285 134.305 152.07  142.98  145.905 144.18 153.72  140.49  136.715 142.005 142.7   141.89  139.71  131.805 125.42 113.21 ]"
17,18,Frontal,1,,,181,,181,0,,,,,,,
18,19,Frontal,1,,,177,,177,1,Unistriate,,Infraradiate,,Vogt1919,,"[191.19333333 254.155      225.795      231.51       236.72166667 236.66333333 217.205      181.44666667 193.735      231.01 222.475      206.62666667 250.215      242.97       248.53166667 220.64666667 246.4        241.075      251.015      239.47666667 235.46       253.82       243.335      241.55       250.275 235.87       247.645      220.595      244.88       222.42166667 240.94       243.56       231.43       193.16333333 229.01166667 251.505      243.43       234.3        213.86666667 228.89333333 236.33       233.75       237.37333333 215.55333333 229.54666667 231.11833333 206.24       225.41166667 223.49166667 231.34 230.68       228.99       229.52666667 225.785      219.74666667 215.55166667 182.025      176.62       175.69333333 184.08833333 164.02833333 178.88666667 167.13833333 177.98       180.61833333 180.49       165.37666667 181.01166667 167.39333333 162.40666667 148.47833333 166.25666667 171.35333333 166.51333333 173.88166667 177.89833333 164.92833333 162.20166667 152.22833333 163.66166667 153.43666667 153.475      149.765      147.97166667 135.37 132.78333333 139.13833333 149.07333333 133.48833333 125.06333333 110.15666667  96.72166667  82.95666667  80.395       76.5  81.775       78.98333333  72.63833333  87.825       69.84666667]"
19,20,Frontal,1,,,181,,181,0,,,,,,,
20,21,Frontal,1,,,192,,192,1,Unistriate,,Infraradiate,,Strasburger1937a,"Stefan Geyer, Robert Turner - [Microstructural Parcellation of the Human Cerebral Cortex] - 76p (Fig 3.15)","[224.62  229.125 209.91  225.51  218.36  206.35  239.32  243.8   237.09 234.705 246.415 243.66  244.93  243.215 246.66  244.015 246.21  241.845 236.56  242.795 238.465 239.54  233.515 233.755 227.925 198.085 181.77 169.155 168.815 160.165 169.91  163.47  154.335 165.56  144.205 152.44 153.24  161.535 171.075 183.525 175.1   159.76  154.16  172.355 168.465 152.11  144.33  132.49  142.755 140.57  117.835 132.17  113.825 136.765 111.54  111.475 114.535 104.71  102.99  103.585 119.165 105.47  102.765 116.71  102.34  107.     90.865 110.975 110.405  93.88   74.91   75.33  76.26   80.395  76.56   79.21   81.75   81.77   73.1    65.915  55.785  55.51   56.615  48.335  38.86   52.795  47.095  45.51   30.72   36.605  33.455  22.42   19.65   27.93   23.36   30.78   27.18   30.     31.25  23.005]"
21,22,Frontal,1,,,157,,157,0,,,,,,,
22,23,Frontal,1,,,162,,162,1,Unistriate,,,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 5p (Fig 13)","[251.585      244.67       243.645      242.205      240.525  232.64666667 230.78666667 227.5        227.11666667 223.21  226.39666667 221.38333333 222.04333333 224.94333333 222.74  216.32833333 218.22       216.575      205.51666667 213.15166667  210.805      209.20166667 201.31833333 201.50666667 199.61  200.055      196.46333333 194.005      191.99833333 186.65166667  186.84666667 187.04166667 181.60833333 178.395      176.03166667  174.11833333 162.66       164.35333333 162.45666667 169.03833333  165.50833333 163.315      158.28833333 149.815      152.985  137.80666667 138.         127.55833333 122.31666667 120.33666667  113.22166667 106.21       105.91333333 106.94666667  93.075   92.34666667  88.54333333  76.61        80.22166667  76.47666667   78.20333333  66.515       69.4         63.26833333  60.48666667   55.705       52.62166667  45.89166667  39.18666667  44.02166667   34.00666667  31.655       22.92833333  19.91333333  14.195   11.09         9.39333333   9.56833333   6.32333333   6.775    5.           6.335        4.94833333   4.72333333   6.31166667    5.59166667  11.56         9.135        6.01         6.365    7.46666667   6.84833333   6.02         6.21333333   6.98333333    8.09833333   8.855        9.50166667  12.65666667  13.93166667]"
23,24,Frontal,1,,,157,,157,0,,,,,,,
24,25,Frontal,1,,,189,,189,0,,,,,,,
25,26,Frontal,1,,,159,,159,1,Unistriate,,Infraradiate,,Strasburger1937a,"Stefan Geyer, Robert Turner - [Microstructural Parcellation of the Human Cerebral Cortex] - 76p (Fig 3.15)","[243.165 207.685 196.23  187.45  191.435 186.075 190.9   221.495 240.59  238.78  243.53  221.22  233.885 233.45  235.605 226.31  207.66  213.91  193.245 197.23  183.145 161.645 177.565 163.015 148.16  130.32  136.745  136.555 117.61  100.365  99.405  88.06   97.955  78.02   79.4    82.66   82.93   84.515  87.035  89.35   82.115  83.59   85.18   89.085  87.22   82.49   89.045  77.945  76.335  63.785  72.515  62.3    67.915  51.62   66.23   66.905  64.265  62.18   59.16   70.605  57.745  55.625  50.495   53.81   57.14   53.945  49.015  51.78   63.225  48.76   57.77   43.595   48.945  42.755  47.57   41.13   34.97   42.055  30.695  41.84   39.53   39.22   29.05   30.055  27.305  20.03   26.36   21.405  24.755  19.58   20.035  19.66   22.655  13.875  14.97    8.765  10.025  14.855  13.615   12.065]"
