"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
-0.58166,-0.53158,0.6157,27.297,-74.623,-1.7864
-0.74913,-0.50608,0.42742,26.633,-74.319,-2.3449
-0.76171,-0.52729,0.37652,26.263,-74.092,-2.9189
0.48967,-0.13551,0.86131,23.452,-74.254,-4.9804
-0.08176,-0.74355,-0.66366,9.0151,-73.383,-19.067
0.032249,-0.92433,-0.38022,8.5845,-72.906,-19.711
0.60984,-0.13351,0.78119,29.494,-72.724,-1.2467
-0.72989,-0.52211,0.44121,25.757,-74.081,-3.835
-0.56117,-0.70509,0.43352,25.068,-73.397,-3.9719
-0.22446,-0.58955,0.77592,24.324,-73.671,-4.7389
0.15615,-0.33796,0.92812,23.768,-74.128,-5.0744
-0.02701,-0.99014,-0.13743,8.17,-72.761,-20.509
0.08682,-0.95893,-0.27002,7.2173,-72.847,-20.516
0.10294,-0.96287,-0.24958,6.8142,-72.616,-21.362
0.040721,-0.96426,-0.26179,6.1036,-72.731,-21.446
-0.047606,-0.94616,-0.32018,5.9834,-72.622,-21.925
-0.17456,-0.9308,-0.32114,5.8604,-72.343,-22.504
0.66203,-0.74557,0.076471,33.159,-71.671,2.8736
0.73363,-0.65345,0.18652,33.617,-71.29,2.3492
0.53021,-0.84769,0.017464,33.409,-71.587,1.7886
0.13495,-0.97158,-0.19446,32.413,-71.906,1.6781
-0.10618,-0.96475,-0.2408,32.093,-71.665,0.63954
-0.31343,-0.90514,-0.28721,31.343,-71.44,0.5862
-0.29623,-0.9397,-0.17093,31.185,-71.187,0.013086
-0.10521,-0.98963,0.09781,30.953,-71.106,-0.57398
0.55065,-0.51221,0.65911,29.637,-71.717,-1.0728
-0.55052,-0.76082,-0.34365,5.0965,-72.035,-22.706
-0.66528,-0.62663,-0.40588,5.0776,-71.643,-23.361
-0.79859,-0.48149,-0.36113,4.8977,-71.056,-23.793
0.86055,-0.47849,0.17464,33.82,-70.832,2.7814
0.93944,-0.26958,0.2116,34.131,-70.272,2.397
0.18282,-0.9518,0.24627,30.061,-71.092,-0.45832
-0.8377,-0.48065,-0.25931,4.7738,-70.327,-24.443
0.9837,-0.061684,0.16892,34.321,-69.505,2.0643
-0.78785,-0.58688,-0.18673,4.6544,-69.813,-25.25
-0.74668,-0.65052,-0.13892,4.2121,-69.174,-25.72
0.99948,-0.031071,-0.0081841,34.335,-68.572,1.7154
-0.73733,-0.66651,-0.11003,3.9007,-68.91,-25.159
0.44288,-0.87091,-0.213,38.043,-67.936,5.0946
0.61595,-0.78221,-0.093562,38.641,-67.546,5.4214
0.19959,-0.88813,-0.41398,37.443,-67.894,4.4863
0.067092,-0.81879,-0.57015,36.966,-67.677,3.9866
0.13487,-0.78235,-0.60806,36.181,-67.549,3.7892
0.96815,-0.19457,-0.15756,34.365,-67.733,1.4406
-0.71651,-0.68634,-0.12468,3.7178,-68.669,-25.606
-0.74,-0.59991,-0.30414,3.7708,-68.471,-26.523
-0.78409,-0.53131,-0.32081,3.4123,-68.141,-26.343
-0.812,-0.39553,-0.42919,3.2338,-67.641,-26.585
0.66182,-0.74914,-0.027961,39.405,-66.897,5.6239
0.68144,-0.7308,0.039667,39.716,-66.598,6.5717
0.35843,-0.75583,-0.54795,35.538,-67.055,3.0087
0.54334,-0.7338,-0.40782,35.184,-66.768,2.2202
0.78692,-0.54679,-0.28598,34.725,-66.914,1.4598
-0.76862,-0.059406,-0.63694,3.1687,-66.281,-27.061
0.69378,-0.71992,0.019792,40.159,-66.174,6.27
0.68677,-0.72623,0.030792,40.736,-65.63,6.714
-0.46085,0.29425,-0.83728,4.0994,-65.429,-27.825
0.72189,-0.69059,0.044324,41.268,-65.117,6.7807
0.74596,-0.66535,0.029026,41.686,-64.683,6.4289
0.45409,0.88917,-0.056394,7.957,-66.39,-23.593
0.51442,0.83832,0.1805,6.6932,-65.852,-24.161
0.68842,0.68497,0.23853,6.1648,-65.247,-24.749
0.73108,0.66376,0.15793,6.1234,-64.946,-25.491
0.78668,0.61617,-0.038368,5.6606,-64.28,-25.847
-0.20518,0.51255,-0.83378,4.0139,-64.292,-27.268
0.82733,-0.55343,0.096122,42.147,-64.069,6.9705
0.90072,-0.4146,0.12967,42.479,-63.283,7.5159
0.61702,0.66337,-0.42335,5.3242,-64.136,-26.641
0.47678,0.68478,-0.55114,4.9173,-63.796,-26.672
0.31857,0.64562,-0.69404,4.7951,-64.085,-27.028
0.94941,-0.30362,0.080213,42.817,-62.645,6.9482
-0.49042,-0.8639,-0.11476,8.6023,-63.249,-23.526
-0.66394,-0.73385,0.14372,9.8238,-63.985,-24.133
0.98446,-0.16496,0.060198,42.967,-61.892,7.4493
0.99689,-0.075696,-0.021757,43.025,-61.115,7.1064
-0.6334,-0.75288,0.17885,8.5948,-63.292,-24.905
-0.82387,-0.55456,0.11705,7.4099,-62.35,-25.153
-0.88535,-0.4649,0.0041001,7.1725,-62.177,-25.923
0.97692,-0.16345,-0.13752,43.09,-60.128,6.8351
-0.90297,-0.38847,-0.18369,7.1513,-61.909,-26.58
-0.94613,-0.22402,-0.23378,6.8476,-61.027,-26.77
-0.96883,0.21642,-0.12052,6.8384,-60.343,-26.508
0.97808,-0.10089,-0.18218,42.911,-59.903,5.7929
0.91764,-0.3195,-0.23633,42.978,-59.022,5.3731
-0.56044,0.8121,-0.16251,7.2475,-59.741,-26.437
0.70187,-0.67521,-0.22687,43.571,-58.291,5.9689
-0.84613,0.48437,-0.22236,13.581,-59.352,-20.77
-0.52504,0.84744,-0.078635,13.173,-59.827,-20.892
-0.2058,0.97329,0.10179,12.768,-59.947,-21.49
0.07633,0.97891,0.18949,12.19,-59.798,-22.273
0.22341,0.95622,0.18903,11.534,-59.507,-23.162
0.26255,0.93186,0.25043,10.919,-59.224,-23.679
0.14229,0.95414,0.26339,10.154,-58.974,-23.845
-0.45133,0.87154,-0.19164,8.0634,-59.239,-26.115
-0.45365,0.86437,-0.21696,7.8736,-59.403,-26.425
-0.37049,0.91803,-0.14124,8.441,-58.961,-25.754
0.43955,-0.85928,-0.2616,44.397,-58.081,6.9145
0.49266,-0.86572,-0.08845,44.875,-57.862,7.0809
0.45128,-0.85318,-0.26158,44.306,-57.931,6.427
-0.92137,0.27663,-0.27305,13.978,-59.043,-21.507
-0.86113,-0.40048,-0.31317,13.87,-58.25,-21.699
0.018109,0.98479,0.17278,9.8635,-58.71,-24.789
-0.18622,0.98247,0.0087227,9.444,-58.682,-25.708
0.63359,-0.67285,0.38189,46.137,-57.088,7.285
0.65203,-0.26089,0.7119,45.997,-56.937,7.7028
0.5559,-0.77663,0.29633,45.397,-57.476,7.5136
0.49586,0.10635,0.86186,45.821,-56.644,7.7699
-0.6478,-0.72075,-0.24673,13.44,-57.528,-22.143
-0.45125,-0.87764,-0.16165,12.833,-56.972,-22.802
0.65361,-0.10643,0.74931,46.502,-56.387,7.303
0.35873,0.36426,0.85944,46.235,-55.641,7.2787
-0.28772,-0.94063,-0.18009,12.315,-56.655,-23.717
-0.1957,-0.93583,-0.29313,11.98,-56.291,-24.786
-0.42308,-0.86177,-0.27992,10.962,-55.946,-25.092
-0.67148,-0.60944,-0.42154,10.354,-55.282,-25.517
0.13201,0.52172,0.84284,45.927,-55.007,6.9867
0.016664,0.33654,0.94152,46.386,-54.397,6.6435
-0.77019,-0.27276,-0.57656,10.271,-54.667,-25.922
-0.17395,0.26581,0.9482,46.013,-53.667,6.3544
-0.69551,0.44472,0.56435,26.023,-53.324,-11.977
-0.57391,0.54528,0.61098,25.597,-53.814,-12.108
-0.43402,0.38651,0.81378,25.239,-53.365,-12.609
-0.76747,0.011086,-0.64099,10.189,-54.209,-25.923
-0.73197,0.22074,-0.64459,10.508,-53.756,-26.196
-0.23404,0.129,0.96363,46.474,-53.112,6.365
-0.78194,0.41054,0.46906,26.43,-52.852,-11.759
-0.84017,0.38794,0.37897,26.761,-52.455,-11.515
-0.46842,0.31082,0.82703,25.58,-52.56,-12.752
-0.65675,0.42615,-0.62216,10.684,-53.052,-26.036
-0.28945,0.15711,0.94421,46.54,-52.584,6.317
